event_id,start_s,end_s,label,source_clip_id,source_dataset,speaker_id,emotion,notes
crema-001,8.000000,10.502500,distress,1034_DFA_ANG_XX.wav,CREMA-D,1034,ANG,timeline offset 8 s
crema-002,10.502500,12.838188,exclude,1034_DFA_DIS_XX.wav,CREMA-D,1034,DIS,timeline offset 8 s
crema-003,12.838188,14.773438,distress,1034_DFA_FEA_XX.wav,CREMA-D,1034,FEA,timeline offset 8 s
crema-004,14.773438,17.209188,exclude,1034_DFA_HAP_XX.wav,CREMA-D,1034,HAP,timeline offset 8 s
crema-005,17.209188,19.077750,calm,1034_DFA_NEU_XX.wav,CREMA-D,1034,NEU,timeline offset 8 s
crema-006,19.077750,21.446813,distress,1034_DFA_SAD_XX.wav,CREMA-D,1034,SAD,timeline offset 8 s
crema-007,21.446813,23.815812,distress,1034_IEO_ANG_HI.wav,CREMA-D,1034,ANG,timeline offset 8 s
crema-008,23.815812,25.584250,distress,1034_IEO_ANG_LO.wav,CREMA-D,1034,ANG,timeline offset 8 s
crema-009,25.584250,27.552875,distress,1034_IEO_ANG_MD.wav,CREMA-D,1034,ANG,timeline offset 8 s
crema-010,27.552875,29.828437,exclude,1034_IEO_DIS_HI.wav,CREMA-D,1034,DIS,timeline offset 8 s
crema-011,29.828437,31.663625,exclude,1034_IEO_DIS_LO.wav,CREMA-D,1034,DIS,timeline offset 8 s
crema-012,31.663625,33.939187,exclude,1034_IEO_DIS_MD.wav,CREMA-D,1034,DIS,timeline offset 8 s
crema-013,33.939187,35.574125,distress,1034_IEO_FEA_HI.wav,CREMA-D,1034,FEA,timeline offset 8 s
crema-014,35.574125,37.409312,distress,1034_IEO_FEA_LO.wav,CREMA-D,1034,FEA,timeline offset 8 s
crema-015,37.409312,39.144375,distress,1034_IEO_FEA_MD.wav,CREMA-D,1034,FEA,timeline offset 8 s
crema-016,39.144375,41.246500,exclude,1034_IEO_HAP_HI.wav,CREMA-D,1034,HAP,timeline offset 8 s
crema-017,41.246500,43.014938,exclude,1034_IEO_HAP_LO.wav,CREMA-D,1034,HAP,timeline offset 8 s
crema-018,43.014938,45.016937,exclude,1034_IEO_HAP_MD.wav,CREMA-D,1034,HAP,timeline offset 8 s
crema-019,45.016937,46.718625,calm,1034_IEO_NEU_XX.wav,CREMA-D,1034,NEU,timeline offset 8 s
crema-020,46.718625,48.854062,distress,1034_IEO_SAD_HI.wav,CREMA-D,1034,SAD,timeline offset 8 s
crema-021,48.854062,50.689250,distress,1034_IEO_SAD_LO.wav,CREMA-D,1034,SAD,timeline offset 8 s
crema-022,50.689250,52.824688,distress,1034_IEO_SAD_MD.wav,CREMA-D,1034,SAD,timeline offset 8 s
crema-023,52.824688,55.293813,distress,1034_IOM_ANG_XX.wav,CREMA-D,1034,ANG,timeline offset 8 s
crema-024,55.293813,58.063250,exclude,1034_IOM_DIS_XX.wav,CREMA-D,1034,DIS,timeline offset 8 s
crema-025,58.063250,60.499000,distress,1034_IOM_FEA_XX.wav,CREMA-D,1034,FEA,timeline offset 8 s
crema-026,60.499000,63.001500,exclude,1034_IOM_HAP_XX.wav,CREMA-D,1034,HAP,timeline offset 8 s
crema-027,63.001500,65.170313,calm,1034_IOM_NEU_XX.wav,CREMA-D,1034,NEU,timeline offset 8 s
crema-028,65.170313,67.839625,distress,1034_IOM_SAD_XX.wav,CREMA-D,1034,SAD,timeline offset 8 s
