start_s,end_s,source_clip_id,emotion,label
0.000000,1.968625,1067_DFA_ANG_XX.wav,ANG,distress
1.968625,4.170813,1067_DFA_DIS_XX.wav,DIS,exclude
4.170813,5.972625,1067_DFA_FEA_XX.wav,FEA,distress
5.972625,7.974625,1067_DFA_HAP_XX.wav,HAP,exclude
7.974625,10.076750,1067_DFA_NEU_XX.wav,NEU,calm
10.076750,12.045375,1067_DFA_SAD_XX.wav,SAD,distress
12.045375,16.182813,1067_IEO_ANG_HI.wav,ANG,distress
16.182813,18.251562,1067_IEO_ANG_LO.wav,ANG,distress
18.251562,20.954250,1067_IEO_ANG_MD.wav,ANG,distress
20.954250,23.456750,1067_IEO_DIS_HI.wav,DIS,exclude
23.456750,26.292938,1067_IEO_DIS_LO.wav,DIS,exclude
26.292938,29.162500,1067_IEO_DIS_MD.wav,DIS,exclude
29.162500,31.631625,1067_IEO_FEA_HI.wav,FEA,distress
31.631625,34.467813,1067_IEO_FEA_LO.wav,FEA,distress
34.467813,37.637625,1067_IEO_FEA_MD.wav,FEA,distress
37.637625,39.673000,1067_IEO_HAP_HI.wav,HAP,exclude
39.673000,41.675000,1067_IEO_HAP_LO.wav,HAP,exclude
41.675000,44.377688,1067_IEO_HAP_MD.wav,HAP,exclude
44.377688,46.246250,1067_IEO_NEU_XX.wav,NEU,calm
46.246250,49.182500,1067_IEO_SAD_HI.wav,SAD,distress
49.182500,52.118750,1067_IEO_SAD_LO.wav,SAD,distress
52.118750,54.888188,1067_IEO_SAD_MD.wav,SAD,distress
54.888188,57.891188,1067_IOM_ANG_XX.wav,ANG,distress
57.891188,62.662625,1067_IOM_DIS_XX.wav,DIS,exclude
62.662625,65.465437,1067_IOM_FEA_XX.wav,FEA,distress
65.465437,67.967938,1067_IOM_HAP_XX.wav,HAP,exclude
67.967938,70.170125,1067_IOM_NEU_XX.wav,NEU,calm
70.170125,72.672625,1067_IOM_SAD_XX.wav,SAD,distress
72.672625,75.742375,1067_ITH_ANG_XX.wav,ANG,distress
75.742375,79.045687,1067_ITH_DIS_XX.wav,DIS,exclude
79.045687,81.214500,1067_ITH_FEA_XX.wav,FEA,distress
81.214500,83.616875,1067_ITH_HAP_XX.wav,HAP,exclude
83.616875,85.819063,1067_ITH_NEU_XX.wav,NEU,calm
85.819063,88.455000,1067_ITH_SAD_XX.wav,SAD,distress
88.455000,90.590437,1067_ITS_ANG_XX.wav,ANG,distress
90.590437,93.993813,1067_ITS_DIS_XX.wav,DIS,exclude
93.993813,97.063563,1067_ITS_FEA_XX.wav,FEA,distress
97.063563,101.034188,1067_ITS_HAP_XX.wav,HAP,exclude
101.034188,102.969437,1067_ITS_NEU_XX.wav,NEU,calm
102.969437,106.072563,1067_ITS_SAD_XX.wav,SAD,distress
106.072563,110.877375,1067_IWL_ANG_XX.wav,ANG,distress
110.877375,113.746875,1067_IWL_DIS_XX.wav,DIS,exclude
113.746875,116.382812,1067_IWL_FEA_XX.wav,FEA,distress
116.382812,118.618375,1067_IWL_HAP_XX.wav,HAP,exclude
118.618375,120.820562,1067_IWL_NEU_XX.wav,NEU,calm
120.820562,123.556625,1067_IWL_SAD_XX.wav,SAD,distress
123.556625,125.592000,1067_IWW_ANG_XX.wav,ANG,distress
125.592000,128.127875,1067_IWW_DIS_XX.wav,DIS,exclude
128.127875,130.663750,1067_IWW_FEA_XX.wav,FEA,distress
130.663750,133.166250,1067_IWW_HAP_XX.wav,HAP,exclude
133.166250,135.768875,1067_IWW_NEU_XX.wav,NEU,calm
135.768875,139.505937,1067_IWW_SAD_XX.wav,SAD,distress
139.505937,141.874937,1067_MTI_ANG_XX.wav,ANG,distress
141.874937,144.344063,1067_MTI_DIS_XX.wav,DIS,exclude
144.344063,146.579625,1067_MTI_FEA_XX.wav,FEA,distress
146.579625,149.449125,1067_MTI_HAP_XX.wav,HAP,exclude
149.449125,152.018375,1067_MTI_NEU_XX.wav,NEU,calm
152.018375,155.221563,1067_MTI_SAD_XX.wav,SAD,distress
155.221563,159.359000,1067_TAI_ANG_XX.wav,ANG,distress
159.359000,162.729000,1067_TAI_DIS_XX.wav,DIS,exclude
162.729000,165.498437,1067_TAI_FEA_XX.wav,FEA,distress
165.498437,167.967563,1067_TAI_HAP_XX.wav,HAP,exclude
167.967563,170.236500,1067_TAI_NEU_XX.wav,NEU,calm
170.236500,173.072688,1067_TAI_SAD_XX.wav,SAD,distress
173.072688,176.075687,1067_TIE_ANG_XX.wav,ANG,distress
176.075687,178.678313,1067_TIE_DIS_XX.wav,DIS,exclude
178.678313,180.953875,1067_TIE_FEA_XX.wav,FEA,distress
180.953875,183.256188,1067_TIE_HAP_XX.wav,HAP,exclude
183.256188,185.591875,1067_TIE_NEU_XX.wav,NEU,calm
185.591875,188.161125,1067_TIE_SAD_XX.wav,SAD,distress
188.161125,190.163125,1067_TSI_ANG_XX.wav,ANG,distress
190.163125,192.699000,1067_TSI_DIS_XX.wav,DIS,exclude
192.699000,194.967938,1067_TSI_FEA_XX.wav,FEA,distress
194.967938,197.243500,1067_TSI_HAP_XX.wav,HAP,exclude
197.243500,198.811750,1067_TSI_NEU_XX.wav,NEU,calm
198.811750,201.314250,1067_TSI_SAD_XX.wav,SAD,distress
201.314250,204.550813,1067_WSI_ANG_XX.wav,ANG,distress
204.550813,207.487063,1067_WSI_DIS_XX.wav,DIS,exclude
207.487063,209.622500,1067_WSI_FEA_XX.wav,FEA,distress
209.622500,212.358563,1067_WSI_HAP_XX.wav,HAP,exclude
212.358563,214.794312,1067_WSI_NEU_XX.wav,NEU,calm
214.794312,217.263438,1067_WSI_SAD_XX.wav,SAD,distress
