session_id,node_id,boot_id,chunk_index,relative_path,start_sample_index,sample_count,valid_sample_count,missing_sample_count,valid_mask_path,sample_rate_hz,duration_s,label,room_id,surface_type,distance_m,source_id,split_group_id,packets_received,packets_lost,packets_duplicate_or_old,temperature_mean_c,sha256
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,0,node-0001/boot-32904764/vibration_000000.npy,9364224,60000,60000,0,node-0001/boot-32904764/valid_000000.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,235,0,0,33.500,6427d31e37e1c6f4b00cae3f54515f76dbfb17c3c6e8f68d5f73b9d2654471e3
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,1,node-0001/boot-32904764/vibration_000001.npy,9424224,60000,60000,0,node-0001/boot-32904764/valid_000001.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.494,b7d05ebb71af4f12614e8ed21036c63ac8e4f8827a85aff0aa16ec18b8dd53c9
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,2,node-0001/boot-32904764/vibration_000002.npy,9484224,60000,60000,0,node-0001/boot-32904764/valid_000002.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,235,0,0,33.496,83e78b780b86e41837aa6c089ed76413cca388a931d2853186f76080106d0089
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,3,node-0001/boot-32904764/vibration_000003.npy,9544224,60000,60000,0,node-0001/boot-32904764/valid_000003.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.496,4306c140ee717ad0b35d5625a0e159e81fa15f297674571cf65c2292adc86b91
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,4,node-0001/boot-32904764/vibration_000004.npy,9604224,60000,60000,0,node-0001/boot-32904764/valid_000004.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.493,7ce7838adfe95c88486bbfd1725f7cbc9c4b350bfad9886765e1afc45c6fdefa
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,5,node-0001/boot-32904764/vibration_000005.npy,9664224,60000,60000,0,node-0001/boot-32904764/valid_000005.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,235,0,0,33.493,7241640475ddf426cdb0258ff665b04500ff82ff13378ab6e3daf290d265b0dc
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,6,node-0001/boot-32904764/vibration_000006.npy,9724224,60000,60000,0,node-0001/boot-32904764/valid_000006.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.493,53eb26a32e92254f9636133864eb145acc42e237fac46e30b8e597f82de7b3d9
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,7,node-0001/boot-32904764/vibration_000007.npy,9784224,60000,60000,0,node-0001/boot-32904764/valid_000007.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.492,2e27b0646373b9937b6a17c69c2df6e632f8c92c486f1d96c0874fb74e924b56
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,8,node-0001/boot-32904764/vibration_000008.npy,9844224,60000,60000,0,node-0001/boot-32904764/valid_000008.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,235,0,0,33.491,5e4e021454dde9f40023530d57b7e8c7761db36b407323785c85c66044b72166
20260717_conference-room-01_conference-table_crema-d-actor-1087,1,848316260,9,node-0001/boot-32904764/vibration_000009.npy,9904224,60000,60000,0,node-0001/boot-32904764/valid_000009.npy,6000,10.000000,mixed,conference-room-01,conference-table,0.2,crema-d_actor_1087,crema-d_actor_1087,234,0,0,33.490,0aa645d44249d710f587f99195531ba318482fe6fcff0b6b0f237385eea9d40c
