session_id,node_id,boot_id,chunk_index,relative_path,start_sample_index,sample_count,valid_sample_count,missing_sample_count,valid_mask_path,sample_rate_hz,duration_s,label,room_id,surface_type,distance_m,source_id,split_group_id,packets_received,packets_lost,packets_duplicate_or_old,temperature_mean_c,sha256
vib_1020,1,3612849267,0,node-0001/boot-d757b473/vibration_000000.npy,36483584,80000,80000,0,node-0001/boot-d757b473/valid_000000.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,313,0,0,32.100,7ee24d3b7adee3833153c81b8ba3666400bc996f09c2ec4b54fa4398fe78faa6
vib_1020,1,3612849267,1,node-0001/boot-d757b473/vibration_000001.npy,36563584,80000,80000,0,node-0001/boot-d757b473/valid_000001.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,312,0,0,32.100,0687fa60bd4e83e66917753a033f54fcde4ee7bd09b8296fd2ccaac26eb2be64
vib_1020,1,3612849267,2,node-0001/boot-d757b473/vibration_000002.npy,36643584,80000,80000,0,node-0001/boot-d757b473/valid_000002.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,313,0,0,32.103,2e18536564ae5bd9a435f9d4facd10769100c563ed8f31a74f36aca06b70039d
vib_1020,1,3612849267,3,node-0001/boot-d757b473/vibration_000003.npy,36723584,80000,80000,0,node-0001/boot-d757b473/valid_000003.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,312,0,0,32.106,33796ffd0ceef3eb81b5394986627afaaff7779f899c29b28dc25473ce2b6bdc
vib_1020,1,3612849267,4,node-0001/boot-d757b473/vibration_000004.npy,36803584,80000,80000,0,node-0001/boot-d757b473/valid_000004.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,313,0,0,32.106,3d0a17e814a28888586cd59a8f9123f360da90cefadf4905556f554394c7e557
vib_1020,1,3612849267,5,node-0001/boot-d757b473/vibration_000005.npy,36883584,80000,80000,0,node-0001/boot-d757b473/valid_000005.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,312,0,0,32.107,0cffd1728692c89bb9f51593465f7822dfb138803a37b3b2b5d82ecd950b44ed
vib_1020,1,3612849267,6,node-0001/boot-d757b473/vibration_000006.npy,36963584,80000,80000,0,node-0001/boot-d757b473/valid_000006.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,313,0,0,32.108,833e903a98b5437fa2a64e974d23243767d20471fb06d87b1aad9e2bf2c34644
vib_1020,1,3612849267,7,node-0001/boot-d757b473/vibration_000007.npy,37043584,80000,80000,0,node-0001/boot-d757b473/valid_000007.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,312,0,0,32.109,a2774869c3b6f7833c12fdc66a4658cfb74b71375730e53c6c1f8df19d042457
vib_1020,1,3612849267,8,node-0001/boot-d757b473/vibration_000008.npy,37123584,80000,80000,0,node-0001/boot-d757b473/valid_000008.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,313,0,0,32.110,2960f33f6ae947199926aaf8ef1a9f730ca5857fdaa0740bd5c29813a94852ec
vib_1020,1,3612849267,9,node-0001/boot-d757b473/vibration_000009.npy,37203584,80000,80000,0,node-0001/boot-d757b473/valid_000009.npy,8000,10.000000,mixed,test-room,hardwood-floor,0.05,crema-d_actor_1020,crema-d_actor_1020,312,0,0,32.116,f2c19613e178a62b55e6bbf50e605eeb7bf500a534a041da4a83d253c2fc000d
